epoch,train_loss,val_acc,val_precision,val_recall,val_f1,val_auc,val_tp,val_tn,val_fp,val_fn,threshold
1,0.5886092184732358,0.8355489906450024,0.8466195761856711,0.821743388834476,0.8339960238568589,0.9034144354690122,839,858,152,182,0.31236607
2,0.5229553807526827,0.8660758247168883,0.8763819095477386,0.8540646425073457,0.8650793650793651,0.925998584187508,872,887,123,149,0.22287129
3,0.492021972934405,0.8833087149187593,0.8881188118811881,0.8785504407443683,0.8833087149187593,0.9421824846539502,897,897,113,124,0.2453187
4,0.474748852259169,0.8857705563761694,0.8848780487804878,0.8883447600391773,0.8866080156402737,0.949001658246138,907,892,118,114,0.23090534
5,0.4806586044530074,0.896110290497292,0.9149590163934426,0.8746327130264446,0.8943415122684026,0.9535148029984193,893,927,83,128,0.34856585
6,0.458823661506176,0.8902018709995076,0.8997995991983968,0.8795298726738492,0.8895492818226844,0.9470835232396895,898,910,100,123,0.28966114
7,0.44806225020438434,0.8946331856228459,0.8944281524926686,0.8961802154750245,0.8953033268101761,0.9545010230699857,915,902,108,106,0.26831675
8,0.451621912792325,0.9039881831610044,0.908102766798419,0.9000979431929481,0.9040826364977865,0.9556016718224223,919,917,93,102,0.28924453
9,0.4397493930533528,0.8931560807483998,0.879245283018868,0.9128305582761999,0.8957232099951946,0.9522279652059231,932,882,128,89,0.23442979
10,0.4467459267626206,0.9084194977843427,0.9179179179179179,0.8981390793339863,0.907920792079208,0.9613104993163372,917,928,82,104,0.2914408
11,0.44531557795902094,0.9005416051206302,0.9115577889447236,0.8883447600391773,0.8998015873015873,0.958215106525344,907,922,88,114,0.22742763
12,0.43418864409128827,0.897587395371738,0.905284147557328,0.8893241919686582,0.8972332015810277,0.95489861424928,908,915,95,113,0.23943484
13,0.42280209890256326,0.8877400295420975,0.9050051072522982,0.8677766895200784,0.886,0.9550120731955664,886,917,93,135,0.29709968
14,0.4190684155871471,0.9049729197439685,0.8957934990439771,0.9177277179236043,0.9066279632317368,0.9599839024059116,937,901,109,84,0.17882416
15,0.4209828388566772,0.9054652880354506,0.902818270165209,0.9098922624877571,0.9063414634146342,0.9610797024854296,929,910,100,92,0.18237077
16,0.44191523184999826,0.896110290497292,0.9074446680080482,0.8834476003917727,0.8952853598014888,0.9571154275074911,902,918,92,119,0.29193154
17,0.4241417047257225,0.8838010832102413,0.9033915724563206,0.8609206660137121,0.8816449348044132,0.9497852037897228,879,916,94,142,0.2765092
18,0.4102871804498136,0.9103889709502708,0.9029779058597502,0.920666013712047,0.9117361784675073,0.963994724643865,940,909,101,81,0.2692204
19,0.42009330810979006,0.9015263417035942,0.9175991861648016,0.8834476003917727,0.9001996007984032,0.9616004499568468,902,929,81,119,0.3420115
20,0.421349319939812,0.8852781880846874,0.8870333988212181,0.8844270323212536,0.885728298185385,0.9489890516965506,903,895,115,118,0.20871234
21,0.4214521607384086,0.8995568685376661,0.9122098890010091,0.8854064642507345,0.8986083499005965,0.9606219877619495,904,923,87,117,0.34461778
22,0.4100280229623119,0.8887247661250616,0.9188619599578504,0.8540646425073457,0.8852791878172589,0.9543187129682605,872,933,77,149,0.24515426
23,0.3959346887655556,0.897587395371738,0.9069069069069069,0.8873653281096964,0.897029702970297,0.9613502584342666,906,917,93,115,0.2788184
