epoch,train_loss,val_recall,val_auc,val_tp,val_tn,val_fp,val_fn,threshold
1,0.5713419236698929,0.8328298086606244,0.8427595882333794,827,694,265,166,0.42382443
2,0.491790993237982,0.8731117824773413,0.9059170187138961,867,771,188,126,0.33601484
3,0.46415519997173427,0.8479355488418933,0.899247810796535,842,785,174,151,0.33791772
4,0.4389105986575691,0.8328298086606244,0.9154834624435702,827,826,133,166,0.41538224
5,0.4285774197505445,0.8479355488418933,0.9140427203143591,842,804,155,151,0.34016567
6,0.41606177438278585,0.8167170191339376,0.9080875828400472,811,821,138,182,0.36526132
7,0.41123778750093615,0.879154078549849,0.9201312209449461,873,793,166,120,0.40913078
8,0.4333876720496586,0.8549848942598187,0.9140343194856172,849,799,160,144,0.37087697
9,0.4084648437645971,0.8680765357502518,0.9183260928690615,862,802,157,131,0.42739326
10,0.39660456568306807,0.8912386706948641,0.9177758385864765,885,783,176,108,0.3301688
11,0.41518022484925327,0.8821752265861027,0.9275754053137343,876,809,150,117,0.36982277
12,0.39484482070012966,0.877139979859013,0.9129548129923017,871,782,177,122,0.3788321
13,0.39516877714468507,0.8831822759315207,0.9241163640793163,877,816,143,116,0.37665844
14,0.40020397478828623,0.8882175226586103,0.9231082646303057,882,800,159,111,0.44416583
15,0.38507029167851625,0.8700906344410876,0.9256075111809781,864,817,142,129,0.41053027
